,,,,5.10.1.3.7 Manage Meta Data Repositories,,,,L5,,,,
,,,,5.10.1.3.8 Distribute & Deliver Meta Data,,,,L5,,,,
,,,,5.10.1.3.9 Support Meta Data Reporting and Analysis,,,,L5,,,,
,,5.10.2 Manage Reference & Master Data,,,,,,L3,,,,
,,,5.10.2.1 Understand Reference & Master Data Integration Needs,,,,,L4,,,,
,,,5.10.2.2 Define the Data Integration Architecture,,,,,L4,,,,
,,,5.10.2.3 Implement Reference & Master Data Management Solutions,,,,,L4,,,,
,,,5.10.2.4 Control Code Values & Other Reference Data,,,,,L4,,,,
,,,5.10.2.5 Integrate Master Data,,,,,L4,,,,
,,,5.10.2.6 Replicate Reference and Master Data,,,,,L4,,,,
,,,5.10.2.7 Maintain Dimensional Hierarchies,,,,,L4,,,,
,,,5.10.2.8 Partner/Customer Master Data Management,,,,,L4,,,,
,,,,5.10.2.8.1 Account Hierarchy Management,,,,L5,,,,
,,,,5.10.2.8.2 Partner/Customer Profile Management,,,,L5,,,,
,,,,,5.10.2.8.2.1 Partner/Customer Preferences Management,,,L6,,,,
,,,,5.10.2.8.3 Update Partner/Customer Master Database,,,,L5,,,,
,,,,5.10.2.8.4 Manage Data Authorizations,,,,L5,,,,
,,,,5.10.2.8.5 Account Profile Management,,,,L5,,,,
,,,,5.10.2.8.6 Customer/Partner Termination,,,,L5,,,,
,,,,5.10.2.8.7 Maintain/monitor account/loan information,,,,L5,,,,
,,,,5.10.2.8.8 Handle account information changes,,,,L5,,,,
,,,5.10.2.9 Manage Annotations,,,,,L4,,,,
,,,5.10.2.10 Product Master Data Management,,,,,L4,,,,
,,,5.10.2.11 Supplier Master Data Management,,,,,L4,,,,
,,,5.10.2.12 Employee Master Data Management,,,,,L4,,,,
,,5.10.3 Manage Data Quality ,,,,,,L3,,,,
,,,5.10.3.1 Develop and Promote Data Quality Awareness,,,,,L4,,,,
,,,"5.10.3.2 Profile, Analyze & Assess Data Quality",,,,,L4,,,,
,,,5.10.3.3 Define Data Quality Requirements & Business Rules,,,,,L4,,,,
,,,5.10.3.4 Test & Validate Data Quality Requirements,,,,,L4,,,,
,,,5.10.3.5 Define Data Quality Metrics & Service Levels,,,,,L4,,,,
,,,5.10.3.6 Measure & Monitor Data Quality,,,,,L4,,,,
,,,5.10.3.7 Manage Data Quality Issues,,,,,L4,,,,
,,,5.10.3.8 Correct Data Quality Defects,,,,,L4,,,,
,,,5.10.3.9 Design & Implement Operational DQM Procedures,,,,,L4,,,,
,,,5.10.3.10 Monitor Operational DQM Procedures & Performance,,,,,L4,,,,
,,,5.10.3.11 Audit Data Quality,,,,,L4,,,,
,,5.10.4 Manage Documents & Content ,,,,,,L3,,,,
,,,5.10.4.1 Plan for Managing Electronic & Physical Documents ,,,,,L4,,,,
,,,5.10.4.2 Define & Maintain Enterprise Taxonomies & Namespaces,,,,,L4,,,,
,,,5.10.4.3 Implement & Maintain Document Storage Systems,,,,,L4,,,,
,,,5.10.4.4 Acquire & Store Documents,,,,,L4,,,,
,,,5.10.4.5 Index Document Information Contents,,,,,L4,,,,
,,,5.10.4.6 Backup & Recover Documents,,,,,L4,,,,
,,,5.10.4.7 Support Document Content Analysis,,,,,L4,,,,
,,,"5.10.4.8 Support Document Access, Circulation & Update",,,,,L4,,,,
,,,5.10.4.9 Monitor & Tune Document Retrieval Performance,,,,,L4,,,,
,,,"5.10.4.10 Archive, Retrieve & Purge Documents",,,,,L4,,,,
,,,5.10.4.11 Audit Document & Content Management,,,,,L4,,,,
,,5.10.5 Manage Data Integration,,,,,,L3,,,,
,,5.10.6 Manage Information Risk ,,,,,,L3,,,,
,,,5.10.6.1 Manage Information Risk Security,,,,,L4,,,,
,,,5.10.6.2 Manage Information Security Standards,,,,,L4,,,,
,,,5.10.6.3 Manage Data Sharing Policies,,,,,L4,,,,
,,,5.10.6.4 Monitor Security Policy Compliance,,,,,L4,,,,
,,5.10.7 Manage Knowledge Transfer,,,,,,L3,,,,
,,5.10.8 Mange Archival & Retention,,,,,,L3,,,,
,5.11 Manage Reporting and Information Analysis,,,,,,,L2,,,,
,,5.11.1 Measure IT Performance,,,,,,L3,,,,
,,5.11.2 Manage Reports/Scorecards,,,,,,L3,,,,
,,5.11.3 Manage Performance Metrics,,,,,,L3,,,,
,5.12 Manage Search,,,,,,,L2,,,,
,5.13 Manage Enterprise Processes,,,,,,,L2,,,,
,,5.13.1 Manage Processes,,,,,,L3,,,,
,,5.13.2 Manage Process Ownership,,,,,,L3,,,,
,,5.13.3 Develop Process Baseline,,,,,,L3,,,,
,,5.13.4 Manage Process Performance/Improvement,,,,,,L3,,,,
,,5.13.5 Manage Process Communication And Training,,,,,,L3,,,,
6.0 Manage Finances,,,,,,,Capability to manage the financial operations of the corporations.  This capability would enhance corporate value while reducing the company's financial risks and maximize the corporations' return on capital.,L1,,,,
,6.1 Manage Budgets,,,,,,Capability to manage the financial planning and budget cycle including forecasts,L2,,,,
,,6.1.1 Financial Plan Consolidation,,,,,Capability for defining the budgeting process and how budgets are to be created using historical data and anticipated business conditions.,L3,,,,
,,6.1.2 Develop Budget,,,,,"In the decentralized model, distribute budget forms to various department heads to be filled out, and then re-gather the forms and consolidate the budget forms into a single ""master budget."" ",L3,,,,
,,6.1.3 Capital Structure Management,,,,,"The budgeting required to effectively plan the financial value of capital assets. Includes creating an asset on the books when purchased, recording depreciation costs, and asset retirement. ",L3,,,,
,,6.1.4 Resource Allocation Management,,,,,"Determine the most effect model for the management & allocation of the 5 components of a balance sheet and income statement: assets, liabilities, owner's equity, revenue, and expenses.  Example task would include the budgeted deployment of capital (assets",L3,,,,
,,6.1.5 Capital Planning Management,,,,,"Capability for planning the strategy and approach to acquiring capital (such as cash, cash equivalents, stock, etc).  The capital planning approach is tie with capital expenditures planning, as the capital plan much dictate how capital will be acquired be",L3,,,,
,,6.1.6 Capital Expenditure Management,,,,,"Capability for  planning capital asset expenditures, such as property, plant, and equipment and strategic project planning.  These are assets that typically are expected to enable the generation of revenue or cost saving over time, thus are assets that are",L3,,,,
,,6.1.7 Budget vs. Actual Analysis,,,,,Capability for setting assigning resource amounts to budget categories and tracking actual costs against them over time. ,L3,,,,
,,6.1.8 Exceptions/Eliminations Identification,,,,,Identifying variances between actual vs. budget resources and analyzing the variance drivers.,L3,,,,
,6.2 Manage Forecasts,,,,,,,L2,,,,
,,6.2.1 Develop Forecast,,,,,,L3,,,,
,6.3 Manage General Ledger,,,,,,Capability to record to which monetary transactions are posted (in the form of debits and credits) from a journal. It is the final record from which financial statements are prepared. General ledger accounts are often control accounts that report totals of details included in subsidiary ledgers.,L2,,,,
,,6.3.1 Legal Entity Structure Management,,,,,"The defining of an organization's structure (I.e. accounting calendar, multiple organization support, account structures) and tracking intercompany transactions across multiple sets of books.",L3,,,,
,,6.3.2 Account Currencies/Exchange Rates Management,,,,,The ability to define as many reporting currencies as needed in order to maintain and report transaction level information in multiple currencies.,L3,,,,
,,6.3.3 Chart of Accounts and Financial Books Management,,,,,"Manage the list of asset, liability, equity, revenue, or expense accounts per financial book.  Sometimes referred to as dimensional accounting, charts of accounts specify the individual accounts that roll up into a book.  Books are consolidated ""views"" on",L3,,,,
,,6.3.4 SKU Master Setup With GL Accounts Management,,,,,,L3,,,,
,,6.3.5 Finance & Accounting Transaction Processing,,,,,,L3,,,,
,,,6.3.5.1 Journal Entry Postings,,,,"The act of recording journal entries into the appropriate ledger accounts.  This depends on country, as the approach to ""posting"" differs by country as to whether sub ledgers ""flows"" to the main ledger or whether the main ledger ""flows"" to the sub ledgers",L4,,,,
,,,6.3.5.2 Reconciliation Management,,,,,L4,,,,
,,6.3.6 Financial Reporting & Analysis,,,,,"Create financial statements that summarize a given period.  Example statements might include income, retained earnings, etc…",L3,,,,
,,,6.3.6.1 Internal Financial Statement Reporting,,,,"The study of financial data that is reported on internal business structures such as cost centers, products, services, or retail outlets.",L4,,,,
,,,6.3.6.2 Consolidated Statutory Reporting,,,,The collection of financial data that is used for producing external financials such as annual reports or SEC filings.,L4,,,,
,,,6.3.6.3 Subsidiary Statutory Reporting,,,,,L4,,,,
,,,6.3.6.4 P&L Reporting Drill Down,,,,Detailed analysis of profit and loss statements that provides root cause analysis.,L4,,,,
,,,6.3.6.5 Balance Sheet Reporting and Drill Down,,,,"Detailed analysis of the organization's financial position.  Study involves a deeper look at assets, liabilities, and equities.",L4,,,,
,6.4 Manage Treasury,,,,,,"Capability for management of the companies cash holdings plus trading in government and corporate bonds, currencies, financial futures, options and derivatives, payment systems and the associated financial risk management.",L2,,,,
,,6.4.1 Manage Treasury Accounting,,,,,,L3,,,,
,,6.4.2 Manage Banking & Cash Operations,,,,,Capability to manage company  cash resources,L3,,,,
,,,6.4.2.1 Manage Bank Account Strategy,,,,"Involves determining banking strategies and processes to optimize cash flow.  Strategies could involve selecting the bank location, determining who manages the accounts,  or setting up lock box transactions.",L4,,,,
,,,6.4.2.2 Manage Bank Accounts,,,,"Determine bank account balances used for reconciliation and cash flow forecasting.  Also manage  discrepancies, security controls, and types of accounts.",L4,,,,
,,,6.4.2.3 Administer Cash Receipts,,,,The tracking of cash paid by customers for their current or past purchases. ,L4,,,,
,,,6.4.2.4 Administer Cash Payments,,,,"The tracking of cash payments paid to Vendor Suppliers, employees, government for goods, services, payroll, tax, etc.",L4,,,,
,,,6.4.2.5 Manage Bank Reconciliation,,,,"A process whereby cash disbursements and receipts issued are reconciled with statements provided by the organization's banking institution, enabling you to maintain accurate cash balances, identify and resolve exceptions, manage bank errors, and monitor f",L4,,,,
,,,6.4.2.6 Forecast and Manage Cash Flow,,,,"The process of managing cash through forecasting cash disbursement requirements, balancing this against cash flow receipts, and then deriving next steps in terms of investing borrowing due to funds surplus deficit",L4,,,,
,,,6.4.2.7 Process Bank Transactions,,,,"BackOffice processes of managing funds transfers, settlement (payment) on loans,  buy sell money market securities, etc.",L4,,,,
,,,6.4.2.8 Manage Loans,,,,The process of a) managing inter-company funding and b) managing short term and long term borrowing needs in order to support business operations while obtaining funds at the least possible cost.,L4,,,,
,,,6.4.2.9 Administer Credit Cards,,,,The process of managing 3rd party processors such as credit card processors.  These processors may deal with various issuers and acquirers.,L4,,,,
,,6.4.3 Manage Credit & Collections,,,,,,L3,,,,
,,,6.4.3.1 Manage Partner/Customer Credit Terms,,,,The process of determining whether an applicant meets the credit standards and what amount of credit the applicant should receive.,L4,,,,
,,,6.4.3.2 Verify/Manage Customer Credit,,,,Determine whether an applicant meets the firm’s credit standards or those of a lender and what amount of credit the applicant should receive. ,L4,,,,
,,,6.4.3.3 Manage Credit Risk,,,,The process of granting or denying credit to a customer based upon the customer’s credit history and credit policy guidelines. ,L4,,,,
,,,6.4.3.4 Apply Payments/Cash Receipts,,,,The process of matching payments to invoices and marking them as paid.,L4,,,,
,,,6.4.3.5 Manage Customer/Partner Refunds,,,,,L4,,,,
,,,"6.4.3.6 Develop, Send, Maintain Statements",,,,,L4,,,,
,,,6.4.3.7 Manage Partner Payment Plans,,,,,L4,,,,
,,,6.4.3.8 Manage Receivables Aging,,,,An analysis showing how long accounts receivable have been outstanding. It usually shows the percentage of receivables which are not past due and the percentages past due by various time intervals. It is used to help determine an appropriate allowance for,L4,,,,
,,,6.4.3.9 Perform Dunning/Soft-Collections,,,,To press for payment of a debt by demanding repeatedly what one is owed. ,L4,,,,
,,,6.4.3.10 Perform Hard Collections,,,,The handling of customer payments past due which can involve using collection agencies or writing off the payment as bad debt (uncollectible).,L4,,,,
,,,6.4.3.11 Process Write-offs (reversals)/Bad Debt,,,,The process of closing out a debt that will never be collected.,L4,,,,
,,,6.4.3.12 Manage Tax Receivable/Withholding Tax,,,,"The process of determining the correct taxable amount for a receivable.  Factors include the type of product service being bought sold, selling entity and location, and buying entity and location.",L4,,,,
,,,6.4.3.13 Manage Credit Holds,,,,,L4,,,,
,,,6.4.3.14 Manage Collections,,,,"The general process of collecting money that's due from customers, partners, Vendor Suppliers, distributors, etc.. and managing the account records to reflect the collection amounts.",L4,,,,
,,,6.4.3.15 Manage Royalties,,,,,L4,,,,
,,6.4.4 Manage Cash Investments ,,,,"The process of managing an organizations short-term and long-term investment portfolio and interest accrual (for money market).  Activities include setup, maintaining custody, investing, land liquidating investments.",,L3,,,,
,,6.4.5 Manage Capital (Cash),,,,,,L3,,,,
,,,6.4.5.1 Sources & Uses Of Funds Development,,,,,L4,,,,
,,,6.4.5.2 Investment Requirement Analysis,,,,,L4,,,,
,,,6.4.5.3 Investment Performance Monitoring,,,,,L4,,,,
,,,6.4.5.4 Capital Project Prioritization,,,,,L4,,,,
,,,6.4.5.5 Project Requirements Analysis,,,,,L4,,,,
,,,6.4.5.6 Business Investment Funds Management,,,,,L4,,,,
,,6.4.6 Financial Risk Management,,,,,,L3,,,,
,,,6.4.6.1 Manage Financial Risk,,,,,L4,,,,
,,,6.4.6.2 Manage Foreign Currency & Exchange Rates,,,,,L4,,,,
,,,6.4.6.3 Manage Interest Rates,,,,,L4,,,,
,6.5 Manage Fixed Assets,,,,,,"Capability to manage assets which are purchased for continued and long-term use in earning profit in a business. This group includes land, buildings, machinery, furniture, tools, etc",L2,,,,
,,6.5.1 Physical Resource Management,,,,,,L3,,,,
,,,6.5.1.1 Acquire and Redeploy Fixed Assets,,,,"The process of acquiring physical assets, monitoring their usage, and redeploying to other business units when the need arises.",L4,,,,
,,,"6.5.1.2 Track Property, Plant, and Equipment Assets",,,,"Tracking, processing, and categorization of physical assets by country, region, or location.",L4,,,,
,,,6.5.1.3 Manage Depreciation Methods and Books,,,,Tracks the appropriate valuation method of the asset and facilitates the integrity of tax and financial reporting regulations.,L4,,,,
,,,6.5.1.4 Perform Asset Inventory,,,,"Periodic checks to ensure financial reporting of a fixed asset is accurate.  Inventory checks may reveal a need to perform asset adjustments, reclassifications, transfers, or retirements.",L4,,,,
,,6.5.2 Process Fixed Asset Transactions,,,,,,L3,,,,
,,,6.5.2.1 Depreciate/Amortize Assets and Leases,,,,"Process which lowers the value of in-service capital assets over time.  Depreciation rules are defined in the system and determine the depreciation method (straight-line, double declining, etc.) and life for an asset.",L4,,,,
,,,6.5.2.2 Transfer/Combine Assets,,,,"Occurs when an asset is transferred from one business unit to another, thereby requiring appropriate debits and credits to be made in the asset cost account and depreciation reserve account.",L4,,,,
,,,6.5.2.3 Perform Asset Adjustments,,,,"When the value of an asset changes, adjustments need to be made to the asset's cost account and clearing account.",L4,,,,
,,,6.5.2.4 Retire Assets,,,,"Used when an asset is removed from the books and taken out of service - usually when an asset is fully depreciated, is no longer of value to the company, or has been destroyed.  A gain or loss is calculated for retired assets.",L4,,,,
,,,6.5.2.5 Perform Asset Revaluations,,,,Restating the value of assets on the balance sheet.  This is usually done in a high inflation economy where the value of the asset fluctuates as a result of increases decreases in the value of the currency.,L4,,,,
,6.6 Manage Intercompany Accounting,,,,,,,L2,,,,
,6.7 Conduct Financial  Close ,,,,,,"The process of transferring balances from temporary accounts such as revenue and expense, to permanent accounts such as assets, liabilities, and equities.",L2,,,,
,6.8 Manage Tax & Compliance,,,,,,,L2,,,,
,6.9 Manage Internal Audit & Controls,,,,,,,L2,,,,
,6.10 Detect & Prevent Fraud,,,,,,,L2,,,,
,6.11 Manage Accounts Receivable,,,,,,"Capability to account for debts due from customers from sales of products and services",L2,,,,
,,6.11.1 Manage Electronic Invoices,,,,,,L3,,,,
,,6.11.2 Manage Physical Invoices,,,,,,L3,,,,
,,6.11.3 Manage Factoring,,,,,"The processes around debit credit washing between partners, customers, employees accounts receivable, accounts payable, and payroll.",L3,,,,
,,"6.11.4 Develop, Send, Maintain Invoices",,,,,The process of creating and rendering a statement to a customer or insurance provider describing the charges for products or services sold.,L3,,,,
,,,6.11.4.1 Support Local Languages,,,,,L4,,,,
,,,6.11.4.2 Validate Invoice,,,,,L4,,,,
,,,6.11.4.3 Approve Invoice,,,,,L4,,,,
,,,6.11.4.4 Reject Invoice,,,,,L4,,,,
,,6.11.5 Manage Agreement Billing,,,,,Process of determining the receivable amount based on the predefined Agreement guidelines.  Metrics may tracked in order to determine the correct pricing.,L3,,,,
,,6.11.6 Manage Cyclical Billing,,,,,"Billing accounts on a defined schedule (i.e. monthly, yearly, etc.) for a product or service being used.",L3,,,,
,,6.11.7 Manage Revenue Stream,,,,,,L3,,,,
,,6.11.8 Recognize Revenue,,,,,Defining when revenue is recognized within a financial system.  Common approaches are when payment is received (i.e. bank deposit) or billed (i.e. invoice generated).  Outputs of this process are a debit to AR and a credit to sales revenue.,L3,,,,
,,,6.11.8.1 Revenue Reconciliation,,,,,L4,,,,
,,,6.11.8.2 Accrual Management,,,,,L4,,,,
,,6.11.9 Manage Revenue Assurance,,,,,,L3,,,,
,,6.11.10 Manage Deferred Revenue,,,,,Tracking the liability of unearned revenue (services owed for payment received),L3,,,,
,,,6.11.10.1 Revenue Accruals Under 60 and Over 60,,,,,L4,,,,
,,,6.11.10.2 Fixed Fees Subcon,,,,,L4,,,,
,,6.11.11 Support Billing Inquiries,,,,,"Ability to retrieve historical billing information including settlement amounts, settlement dates, payment status, payment information, payment terms, etc.",L3,,,,
,,"6.11.12 Process Returns, Disputes, Charge backs",,,,,"Make appropriate accounting adjustments for items a customer chooses not to make payment for due to returns, charge backs, insufficient funds, or some type of customer dispute.  ",L3,,,,
,,6.11.13 Process Discounts,,,,,,L3,,,,
,,6.11.14 Process Account Adjustments,,,,,"The issuance of a debit or credit to an account for miscellaneous reasons (i.e. overcharge, good-will)",L3,,,,
,,6.11.15 Manage Revenue Allocations,,,,,"The costs related to accounts receivable are allocated to organization business units.  Such costs might include bad debt write offs, collections, charge backs and other bank related charges.",L3,,,,
,,6.11.16 Manage Partner\Customer Billing/ Shipping Profile,,,,,"Process around setting up and maintaining Partner\Customer account hierarchies and rollup groups, such as in the case of Partner\Customer with multiple payment preferences, multiple locations, or multiple legal entities.",L3,,,,
,,6.11.17 Manage Partner Billing Profile,,,,,,L3,,,,
